radius	angle	det	cross	chi.1	chi.2	chi.1.prod.2	ma.1	ma.2	eta.1	eta.2	ksi.1	ksi.2	ksi.c	zeta
#N/A	#N/A	1	1	1	1	1	1	1	1	1	1	1	1	1
0.98	0.017261498	2	3	1	1	2	0	0	0	0	0	0	0	0
0.92	0.897597901	2	1	1	1	2	0	0	0	0	0	0	0	0
0.98	1.795195802	1	1	0	1	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0	0	0
