radius	angle	det	cross	chi.1	chi.2	chi.1.prod.2	eta.1	eta.2	ksi.1	ksi.2	ksi.c	zeta
#N/A	#N/A	1	1	1	1	1	1	1	1	1	1	1
0.9	0.628318531	0	0	0	0	0	1	1	0	0	0	0
0.98	1.256637061	0	0	0	0	0	0	0	1	1	0	0
0.95	0	0	0	0	0	0	0	0	0	0	0	1
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0
#N/A	#N/A	0	0	0	0	0	0	0	0	0	0	0
